# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 6.000000e+01
# lRef        : 3.500000e+01
# Aref        : 1.750000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.227495e+00	6.138832e-01	6.136114e-01	-1.902967e-01	-1.507992e-01	-3.949746e-02	-5.565088e-02	1.359262e-04	8.767818e-04	-1.165958e-16	8.767818e-04	-8.767818e-04
2             	8.512876e-01	4.257193e-01	4.255683e-01	-1.056831e-01	-8.193129e-02	-2.375185e-02	-2.908972e-02	7.548796e-05	6.080626e-04	-9.647825e-17	6.080626e-04	-6.080626e-04
3             	-9.582565e-02	-4.795980e-02	-4.786585e-02	6.576754e-02	4.526913e-02	2.049840e-02	1.238536e-02	-4.697681e-05	-6.844690e-05	-1.200642e-17	-6.844690e-05	6.844690e-05
4             	-6.196769e-01	-3.099567e-01	-3.097202e-01	1.655170e-01	1.058633e-01	5.965368e-02	2.310480e-02	-1.182264e-04	-4.426263e-04	5.044975e-17	-4.426263e-04	4.426263e-04
5             	-4.522268e-01	-2.262109e-01	-2.260159e-01	1.364976e-01	7.255189e-02	6.394570e-02	4.303099e-03	-9.749828e-05	-3.230191e-04	5.435852e-17	-3.230191e-04	3.230191e-04
6             	3.005461e-02	1.499990e-02	1.505471e-02	3.837145e-02	3.431129e-03	3.494032e-02	-1.575459e-02	-2.740818e-05	2.146758e-05	1.920141e-17	2.146758e-05	-2.146758e-05
7             	3.356776e-01	1.678644e-01	1.678132e-01	-3.583110e-02	-3.685863e-02	1.027533e-03	-1.894308e-02	2.559364e-05	2.397697e-04	-1.534870e-17	2.397697e-04	-2.397697e-04
8             	3.063624e-01	1.532070e-01	1.531554e-01	-3.612835e-02	-2.909423e-02	-7.034121e-03	-1.103005e-02	2.580596e-05	2.188303e-04	-2.408221e-17	2.188303e-04	-2.188303e-04
9             	7.537708e-02	3.768392e-02	3.769316e-02	6.462106e-03	9.787475e-05	6.364232e-03	-3.133178e-03	-4.615790e-06	5.384077e-05	-9.267432e-18	5.384077e-05	-5.384077e-05
10            	-1.173563e-01	-5.871622e-02	-5.864006e-02	5.331470e-02	2.547919e-02	2.783551e-02	-1.178156e-03	-3.808193e-05	-8.382592e-05	1.623248e-17	-8.382592e-05	8.382592e-05
11            	-1.562961e-01	-7.819230e-02	-7.810380e-02	6.194641e-02	2.890644e-02	3.303996e-02	-2.066760e-03	-4.424743e-05	-1.116401e-04	3.516177e-17	-1.116401e-04	1.116401e-04
12            	-6.601719e-02	-3.303436e-02	-3.298283e-02	3.606757e-02	1.448335e-02	2.158422e-02	-3.550434e-03	-2.576255e-05	-4.715514e-05	3.748275e-17	-4.715514e-05	4.715514e-05
13            	4.833004e-02	2.416137e-02	2.416868e-02	5.117627e-03	-2.281137e-03	7.398764e-03	-4.839951e-03	-3.655448e-06	3.452146e-05	2.562105e-17	3.452146e-05	-3.452146e-05
14            	1.070406e-01	5.352409e-02	5.351654e-02	-5.283026e-03	-8.565477e-03	3.282450e-03	-5.923964e-03	3.773590e-06	7.645759e-05	1.194779e-17	7.645759e-05	-7.645759e-05
15            	8.730893e-02	4.365801e-02	4.365092e-02	-4.966701e-03	-7.690721e-03	2.724019e-03	-5.207370e-03	3.547644e-06	6.236352e-05	6.061402e-18	6.236352e-05	-6.236352e-05
16            	2.060300e-02	1.029652e-02	1.030648e-02	6.966220e-03	7.022999e-04	6.263920e-03	-2.780810e-03	-4.975871e-06	1.471643e-05	1.284485e-17	1.471643e-05	-1.471643e-05
17            	-3.400297e-02	-1.701462e-02	-1.698835e-02	1.839199e-02	8.747970e-03	9.644019e-03	-4.480242e-04	-1.313713e-05	-2.428783e-05	2.600062e-17	-2.428783e-05	2.428783e-05
18            	-4.358274e-02	-2.180933e-02	-2.177341e-02	2.514073e-02	1.238126e-02	1.275947e-02	-1.891053e-04	-1.795767e-05	-3.113053e-05	3.638458e-17	-3.113053e-05	3.113053e-05
19            	-1.200066e-02	-6.016439e-03	-5.984220e-03	2.255295e-02	8.482573e-03	1.407038e-02	-2.793904e-03	-1.610925e-05	-8.571899e-06	3.697938e-17	-8.571899e-06	8.571899e-06
20            	2.748900e-02	1.373191e-02	1.375709e-02	1.762841e-02	2.038633e-03	1.558978e-02	-6.775572e-03	-1.259172e-05	1.963500e-05	3.032916e-17	1.963500e-05	-1.963500e-05
21            	4.854931e-02	2.426260e-02	2.428671e-02	1.687993e-02	-1.111091e-03	1.799102e-02	-9.551056e-03	-1.205709e-05	3.467808e-05	2.273230e-17	3.467808e-05	-3.467808e-05
22            	4.144631e-02	2.070759e-02	2.073872e-02	2.178939e-02	1.352575e-03	2.043681e-02	-9.542119e-03	-1.556385e-05	2.960451e-05	1.910351e-17	2.960451e-05	-2.960451e-05
23            	1.702331e-02	8.489698e-03	8.533611e-03	3.073896e-02	8.372629e-03	2.236633e-02	-6.996849e-03	-2.195640e-05	1.215951e-05	2.093032e-17	1.215951e-05	-1.215951e-05
24            	-5.214463e-03	-2.634443e-03	-2.580020e-03	3.809593e-02	1.519527e-02	2.290065e-02	-3.852690e-03	-2.721138e-05	-3.724616e-06	2.572725e-17	-3.724616e-06	3.724616e-06
25            	-7.807427e-03	-3.928409e-03	-3.879018e-03	3.457334e-02	1.552270e-02	1.905064e-02	-1.763969e-03	-2.469524e-05	-5.576733e-06	2.888137e-17	-5.576733e-06	5.576733e-06
26            	4.327067e-03	2.145704e-03	2.181364e-03	2.496204e-02	1.100492e-02	1.395712e-02	-1.476099e-03	-1.783003e-05	3.090762e-06	2.947146e-17	3.090762e-06	-3.090762e-06
27            	1.968609e-02	9.832808e-03	9.853286e-03	1.433408e-02	4.582899e-03	9.751176e-03	-2.584139e-03	-1.023863e-05	1.406150e-05	2.807948e-17	1.406150e-05	-1.406150e-05
28            	2.642997e-02	1.320786e-02	1.322211e-02	9.973532e-03	9.725405e-04	9.000992e-03	-4.014226e-03	-7.123952e-06	1.887855e-05	2.643866e-17	1.887855e-05	-1.887855e-05
29            	2.310194e-02	1.154233e-02	1.155961e-02	1.209416e-02	1.059746e-03	1.103441e-02	-4.987332e-03	-8.638683e-06	1.650139e-05	2.545596e-17	1.650139e-05	-1.650139e-05
30            	1.452684e-02	7.249496e-03	7.277339e-03	1.949016e-02	4.585013e-03	1.490515e-02	-5.160069e-03	-1.392155e-05	1.037631e-05	2.526002e-17	1.037631e-05	-1.037631e-05
31            	7.365749e-03	3.663255e-03	3.702494e-03	2.746758e-02	9.025919e-03	1.844166e-02	-4.707872e-03	-1.961970e-05	5.261249e-06	2.550772e-17	5.261249e-06	-5.261249e-06
32            	6.274430e-03	3.115274e-03	3.159156e-03	3.071752e-02	1.134865e-02	1.936887e-02	-4.010113e-03	-2.194108e-05	4.481735e-06	2.568460e-17	4.481735e-06	-4.481735e-06
33            	9.952807e-03	4.955949e-03	4.996858e-03	2.863627e-02	1.090661e-02	1.772967e-02	-3.411531e-03	-2.045448e-05	7.109148e-06	2.588080e-17	7.109148e-06	-7.109148e-06
