# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	1.57121800e-01	7.88815829e-02	7.82402173e-02	-6.41365593e-03	-8.94993846e-03	2.53628253e-03	-5.74311050e-03	3.20682797e-04	7.85609001e-03	-1.61671406e-20	7.85609001e-03	-7.85609001e-03
2               	1.71899821e-01	8.42714404e-02	8.76283810e-02	3.35694066e-02	2.43144854e-03	3.11379581e-02	-1.43532548e-02	-1.67847033e-03	8.59499107e-03	-5.66334022e-20	8.59499107e-03	-8.59499107e-03
3               	1.97459434e-01	9.36186432e-02	1.03840791e-01	1.02221476e-01	1.49496515e-02	8.72718245e-02	-3.61610865e-02	-5.11107380e-03	9.87297170e-03	-8.09717888e-20	9.87297170e-03	-9.87297170e-03
4               	2.10478698e-01	9.76490956e-02	1.12829603e-01	1.51805070e-01	2.40597323e-02	1.27745338e-01	-5.18428028e-02	-7.59025352e-03	1.05239349e-02	-8.76529307e-20	1.05239349e-02	-1.05239349e-02
5               	2.00420007e-01	9.35079047e-02	1.06912103e-01	1.34041978e-01	2.29049656e-02	1.11137012e-01	-4.41160233e-02	-6.70209889e-03	1.00210004e-02	-7.86556914e-20	1.00210004e-02	-1.00210004e-02
6               	1.85209825e-01	8.70606423e-02	9.81491827e-02	1.10885404e-01	2.01612962e-02	9.07241074e-02	-3.52814056e-02	-5.54427018e-03	9.26049125e-03	-6.01473289e-20	9.26049125e-03	-9.26049125e-03
7               	1.57221190e-01	7.41120604e-02	8.31091295e-02	8.99706915e-02	1.75686876e-02	7.24020039e-02	-2.74166582e-02	-4.49853458e-03	7.86105949e-03	-4.02074136e-20	7.86105949e-03	-7.86105949e-03
8               	1.28080509e-01	6.13123037e-02	6.67682055e-02	5.45590178e-02	1.12593330e-02	4.32996848e-02	-1.60201759e-02	-2.72795089e-03	6.40402546e-03	-2.39434565e-20	6.40402546e-03	-6.40402546e-03
9               	9.43250161e-02	4.71854445e-02	4.71395715e-02	-4.58730187e-04	2.70677216e-03	-3.16550235e-03	2.93613726e-03	2.29365094e-05	4.71625080e-03	-1.25537080e-20	4.71625080e-03	-4.71625080e-03
10              	4.92644322e-02	3.07964727e-02	1.84679595e-02	-1.23285132e-01	-1.70662071e-02	-1.06218925e-01	4.45763591e-02	6.16425662e-03	2.46322161e-03	-6.46184644e-21	2.46322161e-03	-2.46322161e-03
11              	1.59670596e-02	1.76297517e-02	-1.66269208e-03	-1.92924437e-01	-2.88952985e-02	-1.64029139e-01	6.75669202e-02	9.64622187e-03	7.98352980e-04	-5.13434278e-21	7.98352980e-04	-7.98352980e-04
12              	7.17164695e-03	1.10756986e-02	-3.90405166e-03	-1.49797503e-01	-2.26000905e-02	-1.27197412e-01	5.22986608e-02	7.48987514e-03	3.58582347e-04	-7.11930390e-21	3.58582347e-04	-3.58582347e-04
13              	8.80545528e-03	8.40353729e-03	4.01917992e-04	-8.00161930e-02	-1.16702438e-02	-6.83459491e-02	2.83378527e-02	4.00080965e-03	4.40272764e-04	-9.66519695e-21	4.40272764e-04	-4.40272764e-04
14              	1.53635703e-02	8.52740273e-03	6.83616753e-03	-1.69123520e-02	-1.81199217e-03	-1.51003598e-02	6.64418383e-03	8.45617600e-04	7.68178513e-04	-1.13469696e-20	7.68178513e-04	-7.68178513e-04
15              	2.85204388e-02	1.12866167e-02	1.72338221e-02	5.94720534e-02	1.10017482e-02	4.84703051e-02	-1.87342784e-02	-2.97360267e-03	1.42602194e-03	-1.22026993e-20	1.42602194e-03	-1.42602194e-03
16              	3.86205236e-02	1.43178490e-02	2.43026746e-02	9.98482567e-02	1.83431100e-02	8.15051467e-02	-3.15810183e-02	-4.99241284e-03	1.93102618e-03	-1.18584630e-20	1.93102618e-03	-1.93102618e-03
17              	4.42761226e-02	1.68651704e-02	2.74109522e-02	1.05457818e-01	2.01110220e-02	8.53467960e-02	-3.26178870e-02	-5.27289090e-03	2.21380613e-03	-1.09170608e-20	2.21380613e-03	-2.21380613e-03
18              	4.57006849e-02	1.85563747e-02	2.71443102e-02	8.58793551e-02	1.78012305e-02	6.80781247e-02	-2.51384471e-02	-4.29396776e-03	2.28503424e-03	-1.00767543e-20	2.28503424e-03	-2.28503424e-03
19              	4.55433555e-02	1.97060932e-02	2.58372623e-02	6.13116905e-02	1.44567218e-02	4.68549687e-02	-1.61991235e-02	-3.06558453e-03	2.27716778e-03	-9.98272321e-21	2.27716778e-03	-2.27716778e-03
20              	4.53574491e-02	2.05898082e-02	2.47676410e-02	4.17783280e-02	1.19034264e-02	2.98749016e-02	-8.98573765e-03	-2.08891640e-03	2.26787246e-03	-1.05162385e-20	2.26787246e-03	-2.26787246e-03
21              	4.11470050e-02	1.99291061e-02	2.12178990e-02	1.28879291e-02	7.45266571e-03	5.43526341e-03	1.00870115e-03	-6.44396456e-04	2.05735025e-03	-1.13904537e-20	2.05735025e-03	-2.05735025e-03
22              	3.79750824e-02	1.91407420e-02	1.88343404e-02	-3.06401517e-03	4.89983141e-03	-7.96384658e-03	6.43183900e-03	1.53200759e-04	1.89875412e-03	-1.26345451e-20	1.89875412e-03	-1.89875412e-03
23              	3.68782880e-02	1.86469139e-02	1.82313742e-02	-4.15539707e-03	4.69674602e-03	-8.85214309e-03	6.77444455e-03	2.07769853e-04	1.84391440e-03	-1.39251196e-20	1.84391440e-03	-1.84391440e-03
24              	3.75302613e-02	1.85182586e-02	1.90120027e-02	4.93744165e-03	6.22730244e-03	-1.28986079e-03	3.75858161e-03	-2.46872083e-04	1.87651306e-03	-1.49313506e-20	1.87651306e-03	-1.87651306e-03
25              	3.93059870e-02	1.86981502e-02	2.06078368e-02	1.90968669e-02	8.62574249e-03	1.04711244e-02	-9.22690942e-04	-9.54843343e-04	1.96529935e-03	-1.54906806e-20	1.96529935e-03	-1.96529935e-03
26              	4.11309331e-02	1.89313723e-02	2.21995609e-02	3.26818858e-02	1.10903647e-02	2.15915211e-02	-5.25057820e-03	-1.63409429e-03	2.05654666e-03	-1.56366828e-20	2.05654666e-03	-2.05654666e-03
27              	4.35090460e-02	1.94177400e-02	2.40913060e-02	4.67356597e-02	1.37636105e-02	3.29720492e-02	-9.60421933e-03	-2.33678298e-03	2.17545230e-03	-1.54991311e-20	2.17545230e-03	-2.17545230e-03
28              	4.54622075e-02	1.99050435e-02	2.55571640e-02	5.65212045e-02	1.58521383e-02	4.06690662e-02	-1.24084640e-02	-2.82606023e-03	2.27311037e-03	-1.51042493e-20	2.27311037e-03	-2.27311037e-03
29              	4.64634827e-02	2.02112739e-02	2.62522088e-02	6.04093487e-02	1.70131299e-02	4.33962188e-02	-1.31915445e-02	-3.02046744e-03	2.32317413e-03	-1.45896266e-20	2.32317413e-03	-2.32317413e-03
30              	4.64185889e-02	2.02450020e-02	2.61735869e-02	5.92858490e-02	1.73198351e-02	4.19660139e-02	-1.23230894e-02	-2.96429245e-03	2.32092945e-03	-1.41096788e-20	2.32092945e-03	-2.32092945e-03
31              	4.56812796e-02	2.00454768e-02	2.56358028e-02	5.59032591e-02	1.71873055e-02	3.87159536e-02	-1.07643241e-02	-2.79516296e-03	2.28406398e-03	-1.37500680e-20	2.28406398e-03	-2.28406398e-03
32              	4.48320874e-02	1.98294242e-02	2.50026632e-02	5.17323908e-02	1.68696592e-02	3.48627316e-02	-8.99653621e-03	-2.58661954e-03	2.24160437e-03	-1.35336763e-20	2.24160437e-03	-2.24160437e-03
33              	4.41253737e-02	1.96873260e-02	2.44380477e-02	4.75072171e-02	1.65035954e-02	3.10036217e-02	-7.25001313e-03	-2.37536086e-03	2.20626869e-03	-1.34560289e-20	2.20626869e-03	-2.20626869e-03
34              	4.36990117e-02	1.96326603e-02	2.40663514e-02	4.43369115e-02	1.62543331e-02	2.80825784e-02	-5.91412268e-03	-2.21684557e-03	2.18495058e-03	-1.35247037e-20	2.18495058e-03	-2.18495058e-03
35              	4.38361864e-02	1.96911454e-02	2.41450410e-02	4.45389560e-02	1.65550546e-02	2.79839014e-02	-5.71442341e-03	-2.22694780e-03	2.19180932e-03	-1.36850360e-20	2.19180932e-03	-2.19180932e-03
36              	4.44485616e-02	1.98408804e-02	2.46076812e-02	4.76680076e-02	1.73730862e-02	3.02949214e-02	-6.46091764e-03	-2.38340038e-03	2.22242808e-03	-1.38711971e-20	2.22242808e-03	-2.22242808e-03
37              	4.54667664e-02	2.00832078e-02	2.53835585e-02	5.30035073e-02	1.86011937e-02	3.44023136e-02	-7.90055994e-03	-2.65017537e-03	2.27333832e-03	-1.40418155e-20	2.27333832e-03	-2.27333832e-03
38              	4.67674452e-02	2.04009354e-02	2.63665098e-02	5.96557435e-02	2.01149267e-02	3.95408168e-02	-9.71294509e-03	-2.98278718e-03	2.33837226e-03	-1.41710278e-20	2.33837226e-03	-2.33837226e-03
39              	4.83304045e-02	2.08058871e-02	2.75245174e-02	6.71863028e-02	2.18546939e-02	4.53316089e-02	-1.17384575e-02	-3.35931514e-03	2.41652023e-03	-1.42612642e-20	2.41652023e-03	-2.41652023e-03
40              	5.00336356e-02	2.12765012e-02	2.87571345e-02	7.48063331e-02	2.36876950e-02	5.11186381e-02	-1.37154716e-02	-3.74031665e-03	2.50168178e-03	-1.43070594e-20	2.50168178e-03	-2.50168178e-03
41              	5.15208341e-02	2.17208634e-02	2.97999707e-02	8.07910729e-02	2.52824324e-02	5.55086405e-02	-1.51131041e-02	-4.03955365e-03	2.57604171e-03	-1.43079154e-20	2.57604171e-03	-2.57604171e-03
42              	5.26061564e-02	2.20825379e-02	3.05236185e-02	8.44108066e-02	2.64747726e-02	5.79360339e-02	-1.57306307e-02	-4.22054033e-03	2.63030782e-03	-1.42802731e-20	2.63030782e-03	-2.63030782e-03
43              	5.33549645e-02	2.23702219e-02	3.09847426e-02	8.61452074e-02	2.73352890e-02	5.88099185e-02	-1.57373148e-02	-4.30726037e-03	2.66774822e-03	-1.42449852e-20	2.66774822e-03	-2.66774822e-03
44              	5.38557279e-02	2.25854235e-02	3.12703043e-02	8.68488078e-02	2.79864667e-02	5.88623411e-02	-1.54379372e-02	-4.34244039e-03	2.69278639e-03	-1.42223228e-20	2.69278639e-03	-2.69278639e-03
45              	5.43004151e-02	2.27777553e-02	3.15226599e-02	8.74490462e-02	2.85948225e-02	5.88542237e-02	-1.51297006e-02	-4.37245231e-03	2.71502076e-03	-1.42085407e-20	2.71502076e-03	-2.71502076e-03
46              	5.48341886e-02	2.29864780e-02	3.18477106e-02	8.86123258e-02	2.93020413e-02	5.93102845e-02	-1.50041216e-02	-4.43061629e-03	2.74170943e-03	-1.41980653e-20	2.74170943e-03	-2.74170943e-03
47              	5.55300773e-02	2.32378612e-02	3.22922160e-02	9.05435480e-02	3.01575652e-02	6.03859827e-02	-1.51142087e-02	-4.52717740e-03	2.77650386e-03	-1.41984174e-20	2.77650386e-03	-2.77650386e-03
48              	5.63858598e-02	2.35172511e-02	3.28686087e-02	9.35135758e-02	3.12086148e-02	6.23049610e-02	-1.55481731e-02	-4.67567879e-03	2.81929299e-03	-1.42177899e-20	2.81929299e-03	-2.81929299e-03
49              	5.73539822e-02	2.38106098e-02	3.35433725e-02	9.73276274e-02	3.24216602e-02	6.49059672e-02	-1.62421535e-02	-4.86638137e-03	2.86769911e-03	-1.42364523e-20	2.86769911e-03	-2.86769911e-03
50              	5.83687067e-02	2.41040440e-02	3.42646627e-02	1.01606186e-01	3.37338323e-02	6.78723537e-02	-1.70692607e-02	-5.08030930e-03	2.91843533e-03	-1.42518883e-20	2.91843533e-03	-2.91843533e-03
51              	5.92962915e-02	2.43657480e-02	3.49305436e-02	1.05647956e-01	3.50084336e-02	7.06395223e-02	-1.78155444e-02	-5.28239779e-03	2.96481458e-03	-1.42570753e-20	2.96481458e-03	-2.96481458e-03
52              	6.02561012e-02	2.46424087e-02	3.56136925e-02	1.09712838e-01	3.63188897e-02	7.33939488e-02	-1.85375295e-02	-5.48564192e-03	3.01280506e-03	-1.42455769e-20	3.01280506e-03	-3.01280506e-03
53              	6.12029379e-02	2.49226447e-02	3.62802932e-02	1.13576485e-01	3.76253947e-02	7.59510907e-02	-1.91628480e-02	-5.67882427e-03	3.06014690e-03	-1.42105437e-20	3.06014690e-03	-3.06014690e-03
54              	6.21516940e-02	2.52194148e-02	3.69322792e-02	1.17128643e-01	3.89098181e-02	7.82188254e-02	-1.96545036e-02	-5.85643217e-03	3.10758470e-03	-1.41577555e-20	3.10758470e-03	-3.10758470e-03
55              	6.29883334e-02	2.54896325e-02	3.74987009e-02	1.20090684e-01	4.00923371e-02	7.99983465e-02	-1.99530047e-02	-6.00453418e-03	3.14941667e-03	-1.40921870e-20	3.14941667e-03	-3.14941667e-03
56              	6.37340506e-02	2.57355129e-02	3.79985378e-02	1.22630249e-01	4.11949714e-02	8.14352773e-02	-2.01201529e-02	-6.13151243e-03	3.18670253e-03	-1.40237302e-20	3.18670253e-03	-3.18670253e-03
57              	6.43660043e-02	2.59401590e-02	3.84258453e-02	1.24856863e-01	4.22081349e-02	8.26487281e-02	-2.02202966e-02	-6.24284315e-03	3.21830021e-03	-1.39597528e-20	3.21830021e-03	-3.21830021e-03
58              	6.49474978e-02	2.61240714e-02	3.88234263e-02	1.26993549e-01	4.31780875e-02	8.38154614e-02	-2.03186869e-02	-6.34967744e-03	3.24737489e-03	-1.39044376e-20	3.24737489e-03	-3.24737489e-03
59              	6.57235239e-02	2.63691909e-02	3.93543330e-02	1.29851421e-01	4.43588115e-02	8.54926093e-02	-2.05668989e-02	-6.49257104e-03	3.28617619e-03	-1.38464959e-20	3.28617619e-03	-3.28617619e-03
60              	6.69040739e-02	2.67360774e-02	4.01679966e-02	1.34319192e-01	4.59683947e-02	8.83507975e-02	-2.11912014e-02	-6.71595961e-03	3.34520370e-03	-1.37888435e-20	3.34520370e-03	-3.34520370e-03
61              	6.80177688e-02	2.70675509e-02	4.09502179e-02	1.38826670e-01	4.75565508e-02	9.12701193e-02	-2.18567843e-02	-6.94133351e-03	3.40088844e-03	-1.37418900e-20	3.40088844e-03	-3.40088844e-03
62              	6.89913976e-02	2.73479276e-02	4.16434701e-02	1.42955425e-01	4.90252567e-02	9.39301682e-02	-2.24524558e-02	-7.14777125e-03	3.44956988e-03	-1.36969954e-20	3.44956988e-03	-3.44956988e-03
63              	6.95060292e-02	2.74816812e-02	4.20243479e-02	1.45426667e-01	5.00226678e-02	9.54039992e-02	-2.26906657e-02	-7.27133335e-03	3.47530146e-03	-1.36573360e-20	3.47530146e-03	-3.47530146e-03
64              	7.04127480e-02	2.77310819e-02	4.26816661e-02	1.49505842e-01	5.14966250e-02	9.80092173e-02	-2.32562962e-02	-7.47529212e-03	3.52063740e-03	-1.36111864e-20	3.52063740e-03	-3.52063740e-03
65              	7.12385924e-02	2.79547886e-02	4.32838038e-02	1.53290151e-01	5.28926029e-02	1.00397548e-01	-2.37524727e-02	-7.66450756e-03	3.56192962e-03	-1.35595982e-20	3.56192962e-03	-3.56192962e-03
