# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
5001            	-1.78656258e-02	-4.81222449e-02	3.02566191e-02	7.83788640e-01	3.98218076e-01	3.85570565e-01	6.32375548e-03	-3.91894320e-02	-8.93281288e-04	5.49316617e-21	-8.93281288e-04	8.93281288e-04
5002            	-1.77168510e-02	-4.80724528e-02	3.03556017e-02	7.84280545e-01	3.98326517e-01	3.85954028e-01	6.18624437e-03	-3.92140272e-02	-8.85842552e-04	5.47121812e-21	-8.85842552e-04	8.85842552e-04
5003            	-1.75909425e-02	-4.80301240e-02	3.04391814e-02	7.84693054e-01	3.98421625e-01	3.86271429e-01	6.07509827e-03	-3.92346527e-02	-8.79547127e-04	5.44942307e-21	-8.79547127e-04	8.79547127e-04
5004            	-1.75011412e-02	-4.79998084e-02	3.04986672e-02	7.84984756e-01	3.98495309e-01	3.86489446e-01	6.00293152e-03	-3.92492378e-02	-8.75057060e-04	5.43127411e-21	-8.75057060e-04	8.75057060e-04
5005            	-1.74526905e-02	-4.79835316e-02	3.05308412e-02	7.85143728e-01	3.98545381e-01	3.86598347e-01	5.97351734e-03	-3.92571864e-02	-8.72634523e-04	5.41837940e-21	-8.72634523e-04	8.72634523e-04
5006            	-1.74359593e-02	-4.79787073e-02	3.05427480e-02	7.85214553e-01	3.98579189e-01	3.86635364e-01	5.97191274e-03	-3.92607276e-02	-8.71797963e-04	5.41079387e-21	-8.71797963e-04	8.71797963e-04
5007            	-1.74603169e-02	-4.79888149e-02	3.05284979e-02	7.85173128e-01	3.98594311e-01	3.86578817e-01	6.00774701e-03	-3.92586564e-02	-8.73015847e-04	5.40855147e-21	-8.73015847e-04	8.73015847e-04
5008            	-1.74975857e-02	-4.80044008e-02	3.05068151e-02	7.85112159e-01	3.98604567e-01	3.86507592e-01	6.04848793e-03	-3.92556080e-02	-8.74879287e-04	5.41003239e-21	-8.74879287e-04	8.74879287e-04
5009            	-1.75354456e-02	-4.80210473e-02	3.04856017e-02	7.85066491e-01	3.98615032e-01	3.86451459e-01	6.08178647e-03	-3.92533245e-02	-8.76772281e-04	5.41346908e-21	-8.76772281e-04	8.76772281e-04
5010            	-1.75648349e-02	-4.80352699e-02	3.04704350e-02	7.85057048e-01	3.98629990e-01	3.86427058e-01	6.10146618e-03	-3.92528524e-02	-8.78241743e-04	5.41733613e-21	-8.78241743e-04	8.78241743e-04
5011            	-1.75828865e-02	-4.80455568e-02	3.04626703e-02	7.85082271e-01	3.98649681e-01	3.86432590e-01	6.10854558e-03	-3.92541135e-02	-8.79144327e-04	5.42065089e-21	-8.79144327e-04	8.79144327e-04
5012            	-1.75908685e-02	-4.80519089e-02	3.04610404e-02	7.85129493e-01	3.98672234e-01	3.86457259e-01	6.10748768e-03	-3.92564746e-02	-8.79543423e-04	5.42306783e-21	-8.79543423e-04	8.79543423e-04
5013            	-1.75915531e-02	-4.80554907e-02	3.04639376e-02	7.85194283e-01	3.98698890e-01	3.86495393e-01	6.10174815e-03	-3.92597142e-02	-8.79577654e-04	5.42500644e-21	-8.79577654e-04	8.79577654e-04
5014            	-1.75864322e-02	-4.80564790e-02	3.04700468e-02	7.85265258e-01	3.98727983e-01	3.86537275e-01	6.09535364e-03	-3.92632629e-02	-8.79321611e-04	5.42620627e-21	-8.79321611e-04	8.79321611e-04
5015            	-1.75800303e-02	-4.80562479e-02	3.04762177e-02	7.85324656e-01	3.98756144e-01	3.86568512e-01	6.09381568e-03	-3.92662328e-02	-8.79001513e-04	5.42646643e-21	-8.79001513e-04	8.79001513e-04
5016            	-1.75767952e-02	-4.80566071e-02	3.04798119e-02	7.85364190e-01	3.98781942e-01	3.86582248e-01	6.09984679e-03	-3.92682095e-02	-8.78839761e-04	5.42582571e-21	-8.78839761e-04	8.78839761e-04
5017            	-1.75804997e-02	-4.80594210e-02	3.04789213e-02	7.85383423e-01	3.98804226e-01	3.86579197e-01	6.11251467e-03	-3.92691712e-02	-8.79024985e-04	5.42498514e-21	-8.79024985e-04	8.79024985e-04
5018            	-1.75902839e-02	-4.80646419e-02	3.04743581e-02	7.85390000e-01	3.98823549e-01	3.86566451e-01	6.12854911e-03	-3.92695000e-02	-8.79514194e-04	5.42437956e-21	-8.79514194e-04	8.79514194e-04
