# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	9.681980e-02	14	1.000000e+00	9.135120e-02	12	1.000000e+00	9.089890e-02	13	false	GAMG	1.000000e+00	6.035830e-03	6	true
2             	smoothSolver	8.808980e-02	7.289110e-03	10	4.896610e-01	4.134550e-02	9	2.940970e-01	2.393790e-02	9	false	GAMG	2.680350e-01	2.169050e-03	4	true
3             	smoothSolver	8.363370e-02	7.359830e-03	5	5.194130e-01	4.041160e-02	6	3.711600e-01	2.874530e-02	5	false	GAMG	1.316460e-01	5.634150e-04	5	true
4             	smoothSolver	4.074400e-02	3.071720e-03	6	4.200560e-01	3.144380e-02	6	2.656370e-01	2.316030e-02	5	false	GAMG	8.002750e-02	6.459700e-04	4	true
5             	smoothSolver	2.057720e-02	1.947550e-03	6	3.223620e-01	2.718320e-02	6	2.133200e-01	1.671430e-02	6	false	GAMG	6.108720e-02	4.569480e-04	4	true
6             	smoothSolver	1.551460e-02	1.447270e-03	6	2.556320e-01	2.226040e-02	6	2.079250e-01	1.657810e-02	6	false	GAMG	4.999040e-02	3.027280e-04	4	true
7             	smoothSolver	1.144990e-02	8.566950e-04	7	2.100050e-01	1.912920e-02	6	2.122680e-01	1.777970e-02	6	false	GAMG	4.271210e-02	2.344350e-04	4	true
8             	smoothSolver	9.583560e-03	7.294550e-04	7	1.850920e-01	1.714970e-02	6	2.199060e-01	1.901090e-02	6	false	GAMG	3.834670e-02	2.013420e-04	4	true
9             	smoothSolver	8.065580e-03	6.452230e-04	7	1.715380e-01	1.612320e-02	6	1.993840e-01	1.822420e-02	6	false	GAMG	3.527930e-02	1.803170e-04	4	true
10            	smoothSolver	7.132590e-03	5.992570e-04	7	1.664020e-01	1.591870e-02	6	1.805900e-01	1.697070e-02	6	false	GAMG	3.347890e-02	1.570140e-04	4	true
11            	smoothSolver	6.660480e-03	5.749390e-04	7	1.619660e-01	1.602410e-02	6	1.681580e-01	1.630760e-02	6	false	GAMG	3.216820e-02	1.527300e-04	4	true
12            	smoothSolver	6.394810e-03	5.667550e-04	7	1.593180e-01	1.191000e-02	7	1.632510e-01	1.630170e-02	6	false	GAMG	3.123440e-02	1.516270e-04	4	true
13            	smoothSolver	6.208990e-03	5.603730e-04	7	1.557170e-01	1.198860e-02	7	1.596090e-01	1.221400e-02	7	false	GAMG	3.101360e-02	1.551490e-04	4	true
14            	smoothSolver	6.093710e-03	5.528510e-04	7	1.514960e-01	1.187310e-02	7	1.463830e-01	1.138220e-02	7	false	GAMG	3.105290e-02	1.546640e-04	4	true
15            	smoothSolver	5.957550e-03	5.420460e-04	7	1.445120e-01	1.143800e-02	7	1.299330e-01	1.030940e-02	7	false	GAMG	3.119300e-02	1.556730e-04	4	true
16            	smoothSolver	5.719440e-03	5.279010e-04	7	1.343560e-01	1.076870e-02	7	1.148550e-01	9.234880e-03	7	false	GAMG	3.098940e-02	1.589810e-04	4	true
17            	smoothSolver	5.435920e-03	5.127070e-04	7	1.217530e-01	9.751760e-03	7	1.028440e-01	8.289960e-03	7	false	GAMG	3.085780e-02	1.566830e-04	4	true
18            	smoothSolver	5.154970e-03	4.943780e-04	7	1.091620e-01	8.708580e-03	7	9.395340e-02	7.536370e-03	7	false	GAMG	3.044130e-02	1.481450e-04	4	true
19            	smoothSolver	4.919160e-03	4.754290e-04	7	9.965960e-02	7.930970e-03	7	8.576630e-02	6.959380e-03	7	false	GAMG	2.954770e-02	1.429760e-04	4	true
20            	smoothSolver	4.727320e-03	4.561120e-04	7	9.526590e-02	7.612360e-03	7	8.042980e-02	6.603070e-03	7	false	GAMG	2.859530e-02	1.459800e-04	4	true
21            	smoothSolver	4.477750e-03	4.352620e-04	7	9.369310e-02	7.568420e-03	7	7.600550e-02	6.336700e-03	7	false	GAMG	2.746870e-02	1.483440e-04	4	true
22            	smoothSolver	4.195680e-03	4.157900e-04	7	9.333510e-02	7.739480e-03	7	7.249000e-02	6.195770e-03	7	false	GAMG	2.644610e-02	1.473580e-04	4	true
23            	smoothSolver	3.967310e-03	3.003280e-04	8	9.428250e-02	8.073980e-03	7	7.003880e-02	6.121050e-03	7	false	GAMG	2.558640e-02	1.435310e-04	4	true
24            	smoothSolver	3.757710e-03	2.910690e-04	8	9.554860e-02	8.366250e-03	7	6.855170e-02	6.108730e-03	7	false	GAMG	2.475830e-02	1.379440e-04	4	true
25            	smoothSolver	3.605080e-03	2.854990e-04	8	9.540090e-02	8.378370e-03	7	6.655610e-02	6.029180e-03	7	false	GAMG	2.402430e-02	1.318220e-04	4	true
26            	smoothSolver	3.496460e-03	2.793310e-04	8	9.254560e-02	8.173090e-03	7	6.452380e-02	5.875960e-03	7	false	GAMG	2.340700e-02	1.278800e-04	4	true
27            	smoothSolver	3.398850e-03	2.742730e-04	8	8.824160e-02	7.901770e-03	7	6.226630e-02	5.705650e-03	7	false	GAMG	2.250540e-02	1.226370e-04	4	true
28            	smoothSolver	3.301550e-03	2.705370e-04	8	8.214760e-02	7.442750e-03	7	5.989790e-02	5.539980e-03	7	false	GAMG	2.161260e-02	1.193900e-04	4	true
29            	smoothSolver	3.238120e-03	2.687330e-04	8	7.529450e-02	6.892080e-03	7	5.695690e-02	5.305280e-03	7	false	GAMG	2.071220e-02	1.175760e-04	4	true
30            	smoothSolver	3.169410e-03	2.656340e-04	8	6.814410e-02	6.298090e-03	7	5.418960e-02	5.141370e-03	7	false	GAMG	1.987850e-02	1.120970e-04	4	true
31            	smoothSolver	3.110360e-03	2.613840e-04	8	6.179060e-02	5.794880e-03	7	5.170800e-02	5.020080e-03	7	false	GAMG	1.913680e-02	1.089110e-04	4	true
32            	smoothSolver	3.040920e-03	2.577570e-04	8	5.676060e-02	5.389110e-03	7	4.988560e-02	4.926350e-03	7	false	GAMG	1.838170e-02	1.090490e-04	4	true
33            	smoothSolver	2.950980e-03	2.539440e-04	8	5.316230e-02	5.131250e-03	7	4.816950e-02	3.645250e-03	8	false	GAMG	1.773600e-02	1.099680e-04	4	true
34            	smoothSolver	2.870310e-03	2.485250e-04	8	5.104020e-02	5.038510e-03	7	4.633440e-02	3.528850e-03	8	false	GAMG	1.701290e-02	1.040330e-04	4	true
35            	smoothSolver	2.784070e-03	2.408420e-04	8	5.043870e-02	5.036950e-03	7	4.466980e-02	3.407280e-03	8	false	GAMG	1.639840e-02	9.794520e-05	4	true
36            	smoothSolver	2.668360e-03	2.309550e-04	8	5.080980e-02	3.803920e-03	8	4.324180e-02	3.280120e-03	8	false	GAMG	1.581470e-02	9.430750e-05	4	true
