# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.257625e+01	6.335686e+00	6.240561e+00	-1.150040e+00	5.376873e+00	-6.526914e+00	5.951893e+00	4.756243e-02	-2.802236e-02	-1.721944e-01	-1.141196e-01	-5.807487e-02
2             	6.545744e+00	3.280843e+00	3.264901e+00	-4.429879e-01	2.692734e+00	-3.135722e+00	2.914228e+00	7.971270e-03	-1.914092e-02	-7.666672e-02	-5.747428e-02	-1.919244e-02
3             	3.933714e+00	1.974541e+00	1.959173e+00	-2.434243e-01	1.769793e+00	-2.013217e+00	1.891505e+00	7.684215e-03	-4.309002e-03	-2.330269e-02	-1.596035e-02	-7.342342e-03
4             	2.237020e+00	1.110695e+00	1.126325e+00	-9.973582e-02	1.014113e+00	-1.113849e+00	1.063981e+00	-7.815173e-03	5.101082e-03	8.621015e-03	9.411590e-03	-7.905749e-04
5             	1.278573e+00	6.285875e-01	6.499852e-01	-1.455611e-02	5.606951e-01	-5.752512e-01	5.679732e-01	-1.069886e-02	8.301795e-03	1.790499e-02	1.725429e-02	6.506977e-04
6             	8.541196e-01	4.181948e-01	4.359249e-01	3.197206e-03	3.776543e-01	-3.744571e-01	3.760557e-01	-8.865057e-03	7.212749e-03	1.286863e-02	1.364706e-02	-7.784328e-04
7             	6.442302e-01	3.179736e-01	3.262565e-01	-5.729750e-07	2.903927e-01	-2.903933e-01	2.903930e-01	-4.141459e-03	3.143292e-03	3.547762e-03	4.917173e-03	-1.369411e-03
8             	5.610199e-01	2.797702e-01	2.812497e-01	-1.838769e-02	2.545432e-01	-2.729309e-01	2.637370e-01	-7.397696e-04	1.835801e-03	-2.332189e-03	6.697070e-04	-3.001896e-03
9             	4.924979e-01	2.439954e-01	2.485025e-01	-2.607681e-02	2.175602e-01	-2.436370e-01	2.305986e-01	-2.253521e-03	9.329728e-04	8.057761e-04	1.335861e-03	-5.300847e-04
10            	4.735394e-01	2.322864e-01	2.412529e-01	-3.068610e-02	2.080945e-01	-2.387806e-01	2.234376e-01	-4.483238e-03	6.647278e-04	6.728741e-03	4.029098e-03	2.699643e-03
11            	4.503690e-01	2.172314e-01	2.331376e-01	-2.970635e-02	1.927933e-01	-2.224997e-01	2.076465e-01	-7.953107e-03	2.242008e-03	1.417243e-02	9.328223e-03	4.844208e-03
12            	4.527931e-01	2.149194e-01	2.378737e-01	-1.896492e-02	1.966871e-01	-2.156520e-01	2.061695e-01	-1.147719e-02	4.066245e-03	1.981802e-02	1.397526e-02	5.842765e-03
13            	4.493202e-01	2.090207e-01	2.402994e-01	-3.281277e-03	1.962439e-01	-1.995252e-01	1.978846e-01	-1.563933e-02	5.537206e-03	2.623433e-02	1.865437e-02	7.579958e-03
